,image,pred,lon,lat,anditi_id
348,Bac Giang City-233.jpeg,0.97133,21.259140275801677N,106.21118950702068E,205
412,Bac Giang City-233.jpeg,0.97133,21.259140275801677N,106.21118950702068E,204
43,Hoa Lư District-58.jpeg,0.9699423,20.192601907264688N,105.94496277429069E,426
559,Thái Bình-174.jpeg,0.9687441,20.433857974965427N,106.32919746026477E,433
34,Chau Doc City-1170.jpeg,0.9660471,10.714649543709534N,105.11522045413554E,466
92,Long Hồ District-1920.jpeg,0.9655707,10.280652179984958N,105.99751811093057E,550
132,Duy Tiên District-775.jpeg,0.96554947,20.640258178480057N,105.99072823134907E,311
8,Chau Doc City-351.jpeg,0.96535426,10.655361006143153N,105.12070547826302E,960
177,Chau Doc City-935.jpeg,0.9652125,10.693090075503575N,105.12619050239051E,471
11,Chau Doc City-935.jpeg,0.9652125,10.693090075503575N,105.12619050239051E,472
318,Chau Doc City-476.jpeg,0.9648447,10.66614074024613N,105.04665765254182E,2
423,Chau Doc City-476.jpeg,0.9648447,10.66614074024613N,105.04665765254182E,1
30,Tam Điệp-623.jpeg,0.9637449,20.157424543078324N,105.87229503813344E,429
26,Tam Điệp-623.jpeg,0.9637449,20.157424543078324N,105.87229503813344E,886
126,Chau Doc City-1138.jpeg,0.96281904,10.709259676658043N,105.12070547826302E,469
201,Long Xuyen City-666.jpeg,0.96255666,10.369093474261044N,105.39749189587363E,918
562,Binh Minh Town-519.jpeg,0.9622575,10.042331073592832N,105.83510996854167E,30
82,Thái Bình-628.jpeg,0.9615769,20.471587044326956N,106.3780938363084E,458
18,Thái Bình-628.jpeg,0.9615769,20.471587044326956N,106.3780938363084E,859
81,Bến Tre City-800.jpeg,0.9610179,10.267754408331982N,106.3406309042958E,704
294,Bến Tre City-800.jpeg,0.9610179,10.267754408331982N,106.3406309042958E,698
76,Bến Tre City-800.jpeg,0.9610179,10.267754408331982N,106.3406309042958E,689
157,Yên Mỹ District-883.jpeg,0.9608846,20.912478611516228N,106.03637638993158E,267
74,Yên Mỹ District-883.jpeg,0.9608846,20.912478611516228N,106.03637638993158E,266
183,Hiệp Hòa District-2236.jpeg,0.9608415,21.391494951517664N,105.97170813559445E,997
63,Duy Tiên District-249.jpeg,0.960737,20.60522404264433N,105.9561729160972E,334
85,Duy Tiên District-249.jpeg,0.960737,20.60522404264433N,105.9561729160972E,333
184,Mỹ Hào District-260.jpeg,0.960154,20.915021475692363N,106.10218607197996E,225
414,Phu Ly City-754.jpeg,0.95994204,20.55858427787936N,105.9761270862806E,361
284,Phu Ly City-754.jpeg,0.95994204,20.55858427787936N,105.9761270862806E,360
99,Long Xuyen City-317.jpeg,0.95905405,10.33675427195213N,105.4742033836116E,930
123,Yên Mỹ District-714.jpeg,0.95864457,20.90169887741291N,105.98445282056811E,265
478,Yên Mỹ District-612.jpeg,0.9582481,20.893614076835426N,106.04214567541645E,622
96,Sa Đéc City-288.jpeg,0.95822126,10.303100272517428N,105.74360167274783E,525
203,Go Cong Town-220.jpeg,0.9576584,10.365745138435436N,106.67037240985691E,858
277,Long Hồ District-2297.jpeg,0.95761603,10.31029644876813N,105.99751811093057E,681
598,Long Hồ District-2297.jpeg,0.95761603,10.31029644876813N,105.99751811093057E,551
553,Thái Bình-192.jpeg,0.95754683,20.433857974965427N,106.38097009372268E,460
145,Go Cong Town-173.jpeg,0.9572744,10.360355271383954N,106.6922926409317E,854
17,Long Xuyen City-616.jpeg,0.9571947,10.363703607209557N,105.4468064237052E,10
278,Duy Tiên District-1192.jpeg,0.9564605,20.6645125802125N,105.9417748680756E,324
215,Duy Tiên District-1192.jpeg,0.9564605,20.6645125802125N,105.9417748680756E,323
638,Long Xuyen City-794.jpeg,0.956208,10.37987320836402N,105.38105371992982E,491
169,Thái Bình-205.jpeg,0.95581126,20.436552908491254N,106.3205686880218E,431
84,Duy Tiên District-913.jpeg,0.9557823,20.648342979057535N,105.95905252570155E,618
251,Thái Bình-277.jpeg,0.9557579,20.441942775542895N,106.33207371767911E,436
369,Hiệp Hòa District-2257.jpeg,0.9543736,21.3941898850435N,105.95724259026198E,139
254,Hiệp Hòa District-2257.jpeg,0.9543736,21.3941898850435N,105.95724259026198E,138
120,Go Cong Town-186.jpeg,0.9542281,10.363050204909696N,106.65393223655084E,845
217,Mỹ Hào District-584.jpeg,0.9539643,20.939275877424816N,106.14546448339627E,216
194,Vĩnh Long-320.jpeg,0.95390165,10.251692338402854N,105.9856692097582E,48
